,V,S(V),A(V),I(V),T(V)
,441
,4500.0, 0.0,  0.00,0.000000, 0.000
,4490.0, 21.3,  0.00,0.000068, 0.005
,4480.0, 42.7,  0.00,0.000136, 0.010
,4470.0, 64.1,  0.01,0.000205, 0.014
,4460.0, 85.5,  0.01,0.000274, 0.019
,4450.0,107.0,  0.02,0.000344, 0.024
,4440.0,128.6,  0.03,0.000414, 0.029
,4430.0,150.2,  0.04,0.000485, 0.034
,4420.0,171.8,  0.05,0.000556, 0.039
,4410.0,193.5,  0.06,0.000627, 0.043
,4400.0,215.2,  0.07,0.000700, 0.048
,4390.0,237.0,  0.09,0.000772, 0.053
,4380.0,258.8,  0.11,0.000845, 0.058
,4370.0,280.7,  0.13,0.000919, 0.063
,4360.0,302.7,  0.15,0.000993, 0.068
,4350.0,324.6,  0.17,0.001067, 0.073
,4340.0,346.7,  0.20,0.001142, 0.078
,4330.0,368.7,  0.22,0.001218, 0.084
,4320.0,390.9,  0.25,0.001294, 0.089
,4310.0,413.0,  0.28,0.001371, 0.094
,4300.0,435.2,  0.31,0.001448, 0.099
,4290.0,457.5,  0.34,0.001526, 0.104
,4280.0,479.8,  0.38,0.001604, 0.109
,4270.0,502.2,  0.42,0.001683, 0.115
,4260.0,524.6,  0.45,0.001762, 0.120
,4250.0,547.1,  0.49,0.001842, 0.125
,4240.0,569.6,  0.54,0.001922, 0.130
,4230.0,592.2,  0.58,0.002003, 0.136
,4220.0,614.8,  0.63,0.002085, 0.141
,4210.0,637.5,  0.68,0.002167, 0.146
,4200.0,660.2,  0.73,0.002249, 0.152
,4190.0,683.0,  0.78,0.002333, 0.157
,4180.0,705.8,  0.83,0.002417, 0.163
,4170.0,728.7,  0.89,0.002501, 0.168
,4160.0,751.6,  0.95,0.002586, 0.174
,4150.0,774.6,  1.01,0.002672, 0.179
,4140.0,797.6,  1.07,0.002758, 0.185
,4130.0,820.7,  1.13,0.002845, 0.190
,4120.0,843.9,  1.20,0.002933, 0.196
,4110.0,867.1,  1.27,0.003021, 0.202
,4100.0,890.3,  1.34,0.003109, 0.207
,4090.0,913.6,  1.41,0.003199, 0.213
,4080.0,937.0,  1.49,0.003289, 0.219
,4070.0,960.4,  1.57,0.003380, 0.224
,4060.0,983.9,  1.65,0.003471, 0.230
,4050.0,  1007.4,  1.73,0.003563, 0.236
,4040.0,  1031.0,  1.82,0.003656, 0.242
,4030.0,  1054.6,  1.90,0.003749, 0.248
,4020.0,  1078.3,  1.99,0.003843, 0.254
,4010.0,  1102.0,  2.09,0.003938, 0.260
,4000.0,  1125.8,  2.18,0.004034, 0.266
,3990.0,  1149.7,  2.28,0.004130, 0.271
,3980.0,  1173.6,  2.38,0.004227, 0.277
,3970.0,  1197.6,  2.48,0.004324, 0.283
,3960.0,  1221.6,  2.59,0.004423, 0.290
,3950.0,  1245.6,  2.69,0.004522, 0.296
,3940.0,  1269.8,  2.80,0.004621, 0.302
,3930.0,  1294.0,  2.92,0.004722, 0.308
,3920.0,  1318.2,  3.03,0.004823, 0.314
,3910.0,  1342.5,  3.15,0.004925, 0.320
,3900.0,  1366.9,  3.27,0.005028, 0.327
,3890.0,  1391.3,  3.40,0.005132, 0.333
,3880.0,  1415.8,  3.52,0.005236, 0.339
,3870.0,  1440.3,  3.65,0.005341, 0.345
,3860.0,  1464.9,  3.79,0.005447, 0.352
,3850.0,  1489.5,  3.92,0.005554, 0.358
,3840.0,  1514.2,  4.06,0.005661, 0.365
,3830.0,  1539.0,  4.20,0.005770, 0.371
,3820.0,  1563.8,  4.35,0.005879, 0.378
,3810.0,  1588.7,  4.49,0.005989, 0.384
,3800.0,  1613.6,  4.64,0.006100, 0.391
,3790.0,  1638.7,  4.80,0.006211, 0.397
,3780.0,  1663.7,  4.96,0.006324, 0.404
,3770.0,  1688.9,  5.12,0.006437, 0.411
,3760.0,  1714.0,  5.28,0.006552, 0.417
