            V          S(V)          A(V)          I(V)          T(V)
          441
       4500.0           0.0          0.00      0.000000         0.000
       4490.0          55.4          0.00      0.000176         0.012
       4480.0         110.8          0.02      0.000354         0.025
       4470.0         166.3          0.04      0.000532         0.037
       4460.0         221.8          0.08      0.000711         0.050
       4450.0         277.3          0.12      0.000891         0.062
       4440.0         332.8          0.18      0.001072         0.074
       4430.0         388.4          0.24      0.001254         0.087
       4420.0         444.0          0.32      0.001436         0.100
       4410.0         499.6          0.40      0.001620         0.112
       4400.0         555.2          0.50      0.001804         0.125
       4390.0         610.9          0.60      0.001990         0.137
       4380.0         666.6          0.72      0.002176         0.150
       4370.0         722.3          0.85      0.002363         0.163
       4360.0         778.0          0.98      0.002552         0.176
       4350.0         833.7          1.13      0.002741         0.188
       4340.0         889.5          1.29      0.002931         0.201
       4330.0         945.3          1.46      0.003122         0.214
       4320.0        1001.2          1.64      0.003314         0.227
       4310.0        1057.0          1.83      0.003507         0.240
       4300.0        1112.9          2.03      0.003701         0.253
       4290.0        1168.8          2.24      0.003896         0.266
       4280.0        1224.7          2.46      0.004092         0.279
       4270.0        1280.6          2.70      0.004289         0.292
       4260.0        1336.6          2.94      0.004487         0.305
       4250.0        1392.6          3.20      0.004686         0.318
       4240.0        1448.6          3.47      0.004886         0.332
       4230.0        1504.7          3.75      0.005087         0.345
       4220.0        1560.7          4.04      0.005289         0.358
       4210.0        1616.9          4.34      0.005493         0.371
       4200.0        1673.0          4.66      0.005697         0.385
       4190.0        1729.1          4.98      0.005902         0.398
       4180.0        1785.3          5.32      0.006109         0.412
       4170.0        1841.5          5.67      0.006316         0.425
       4160.0        1897.8          6.03      0.006525         0.439
       4150.0        1954.1          6.40      0.006735         0.452
       4140.0        2010.4          6.79      0.006945         0.466
       4130.0        2066.7          7.18      0.007157         0.479
       4120.0        2123.0          7.59      0.007370         0.493
       4110.0        2179.4          8.02      0.007585         0.507
       4100.0        2235.8          8.45      0.007800         0.520
       4090.0        2292.2          8.90      0.008017         0.534
       4080.0        2348.7          9.35      0.008234         0.548
       4070.0        2405.2          9.83      0.008453         0.562
       4060.0        2461.7         10.31      0.008673         0.576
       4050.0        2518.3         10.81      0.008895         0.590
       4040.0        2574.9         11.32      0.009117         0.604
       4030.0        2631.5         11.84      0.009341         0.618
       4020.0        2688.1         12.37      0.009566         0.632
       4010.0        2744.8         12.92      0.009792         0.646
       4000.0        2801.5         13.48      0.010019         0.660
       3990.0        2858.2         14.06      0.010248         0.674
       3980.0        2914.9         14.65      0.010478         0.689
       3970.0        2971.7         15.25      0.010709         0.703
       3960.0        3028.5         15.86      0.010942         0.717
       3950.0        3085.3         16.49      0.011176         0.731
       3940.0        3142.2         17.13      0.011411         0.746
       3930.0        3199.1         17.79      0.011647         0.760
       3920.0        3256.0         18.46      0.011885         0.775
       3910.0        3313.0         19.14      0.012124         0.789
       3900.0        3369.9         19.84      0.012364         0.804
       3890.0        3426.9         20.55      0.012606         0.819
       3880.0        3483.9         21.28      0.012849         0.833
       3870.0        3541.0         22.02      0.013094         0.848
       3860.0        3598.1         22.77      0.013340         0.863
       3850.0        3655.1         23.54      0.013587         0.878
       3840.0        3712.3         24.32      0.013835         0.892
       3830.0        3769.4         25.12      0.014085         0.907
       3820.0        3826.6         25.93      0.014337         0.922
       3810.0        3883.8         26.76      0.014590         0.937
       3800.0        3941.1         27.61      0.014844         0.952
       3790.0        3998.4         28.46      0.015100         0.967
       3780.0        4055.7         29.34      0.015358         0.983
       3770.0        4113.0         30.22      0.015617         0.998
       3760.0        4170.4         31.13      0.015877         1.013
       3750.0        4227.9         32.05      0.016139         1.028
       3740.0        4285.3         32.98      0.016403         1.044
       3730.0        4342.8         33.93      0.016668         1.059
       3720.0        4400.4         34.90      0.016935         1.075
       3710.0        4457.9         35.88      0.017204         1.090
       3700.0        4515.4         36.88      0.017473         1.106
       3690.0        4573.0         37.89      0.017744         1.121
