            V          S(V)          A(V)          I(V)          T(V)
          441
       4500.0           0.0          0.00      0.000000         0.000
       4490.0          23.7          0.00      0.000075         0.005
       4480.0          47.4          0.00      0.000151         0.011
       4470.0          71.2          0.01      0.000228         0.016
       4460.0          95.0          0.01      0.000305         0.021
       4450.0         118.8          0.02      0.000382         0.027
       4440.0         142.7          0.03      0.000460         0.032
       4430.0         166.6          0.04      0.000538         0.037
       4420.0         190.5          0.06      0.000616         0.043
       4410.0         214.4          0.07      0.000695         0.048
       4400.0         238.4          0.09      0.000775         0.054
       4390.0         262.4          0.11      0.000855         0.059
       4380.0         286.4          0.13      0.000935         0.065
       4370.0         310.5          0.16      0.001016         0.070
       4360.0         334.6          0.18      0.001097         0.076
       4350.0         358.7          0.21      0.001179         0.081
       4340.0         382.9          0.24      0.001262         0.087
       4330.0         407.0          0.27      0.001344         0.092
       4320.0         431.3          0.30      0.001428         0.098
       4310.0         455.5          0.34      0.001512         0.103
       4300.0         479.8          0.38      0.001596         0.109
       4290.0         504.1          0.42      0.001681         0.115
       4280.0         528.4          0.46      0.001766         0.120
       4270.0         552.8          0.50      0.001852         0.126
       4260.0         577.2          0.55      0.001938         0.132
       4250.0         601.6          0.60      0.002025         0.138
       4240.0         626.1          0.65      0.002112         0.143
       4230.0         650.6          0.70      0.002200         0.149
       4220.0         675.1          0.76      0.002289         0.155
       4210.0         699.7          0.81      0.002378         0.161
       4200.0         724.3          0.87      0.002467         0.167
       4190.0         748.9          0.93      0.002557         0.172
       4180.0         773.6          1.00      0.002648         0.178
       4170.0         798.3          1.07      0.002739         0.184
       4160.0         823.0          1.13      0.002831         0.190
       4150.0         847.7          1.21      0.002923         0.196
       4140.0         872.5          1.28      0.003016         0.202
       4130.0         897.3          1.36      0.003109         0.208
       4120.0         922.2          1.43      0.003203         0.214
       4110.0         947.1          1.51      0.003298         0.220
       4100.0         972.0          1.60      0.003393         0.226
       4090.0         996.9          1.68      0.003488         0.232
       4080.0        1021.9          1.77      0.003585         0.239
       4070.0        1047.0          1.86      0.003682         0.245
       4060.0        1072.0          1.96      0.003779         0.251
       4050.0        1097.1          2.05      0.003878         0.257
       4040.0        1122.2          2.15      0.003976         0.263
       4030.0        1147.4          2.25      0.004076         0.269
       4020.0        1172.6          2.36      0.004176         0.276
       4010.0        1197.8          2.46      0.004277         0.282
       4000.0        1223.1          2.57      0.004378         0.288
       3990.0        1248.4          2.68      0.004480         0.295
       3980.0        1273.7          2.80      0.004583         0.301
       3970.0        1299.1          2.92      0.004686         0.307
       3960.0        1324.5          3.04      0.004790         0.314
       3950.0        1349.9          3.16      0.004894         0.320
       3940.0        1375.4          3.29      0.005000         0.327
       3930.0        1400.9          3.41      0.005106         0.333
       3920.0        1426.4          3.55      0.005213         0.340
       3910.0        1452.0          3.68      0.005320         0.346
       3900.0        1477.6          3.82      0.005428         0.353
       3890.0        1503.3          3.96      0.005537         0.359
       3880.0        1529.0          4.10      0.005646         0.366
       3870.0        1554.7          4.25      0.005757         0.373
       3860.0        1580.5          4.40      0.005868         0.379
       3850.0        1606.2          4.55      0.005979         0.386
       3840.0        1632.1          4.71      0.006092         0.393
       3830.0        1657.9          4.87      0.006205         0.399
       3820.0        1683.8          5.03      0.006319         0.406
       3810.0        1709.8          5.20      0.006433         0.413
       3800.0        1735.8          5.36      0.006549         0.420
       3790.0        1761.8          5.54      0.006665         0.427
       3780.0        1787.8          5.71      0.006782         0.434
       3770.0        1813.9          5.89      0.006900         0.440
       3760.0        1840.1          6.07      0.007019         0.447
       3750.0        1866.3          6.26      0.007138         0.454
       3740.0        1892.5          6.45      0.007258         0.461
       3730.0        1918.7          6.64      0.007380         0.468
       3720.0        1945.0          6.83      0.007502         0.475
       3710.0        1971.4          7.03      0.007624         0.483
       3700.0        1997.7          7.23      0.007748         0.490
       3690.0        2024.1          7.44      0.007872         0.497
       3680.0        2050.5          7.65      0.007998         0.504
